Hora,Compresor 2 - RCS: Presión de Descarga,Compresor 2 - RCS: Presión de Succion,Compresor 2 - RCS: Temperatura de Aceite,Compresor 2 - RCS: Temperatura de Descarga,Compresor C-2: Demanda (kW),Unnamed: 6,Unnamed: 7
2025-01-01 08:55:00 GMT-3,9.18,1.22,40.08,60.6,85.7274,,
2025-01-01 09:00:00 GMT-3,8.8,1.24,39.86,60.12,83.7642,,
2025-01-01 09:05:00 GMT-3,8.7,1.278,39.44,59.78,83.7722,,
2025-01-01 09:10:00 GMT-3,8.7,1.294,39.28,59.8,84.3294,,
2025-01-01 09:15:00 GMT-3,8.78,1.304,39.3,59.84,84.5652,,
2025-01-01 09:20:00 GMT-3,8.8,1.31,39.32,59.92,84.801,,
2025-01-01 09:25:00 GMT-3,8.8,1.312,39.4,60.0,85.0476,,
2025-01-01 09:30:00 GMT-3,8.86,1.318,39.58,60.08,85.1902,,
2025-01-01 09:35:00 GMT-3,8.9,1.32,39.62,60.1,85.438,,
2025-01-01 09:40:00 GMT-3,8.9,1.32,39.76,60.16,85.6742,,
2025-01-01 09:45:00 GMT-3,9.02,1.322,39.9,60.3,86.2094,,
2025-01-01 09:50:00 GMT-3,9.34,1.272,40.3,60.84,87.3896,,
2025-01-01 09:55:00 GMT-3,9.46,1.252,40.66,60.98,87.7914,,
2025-01-01 10:00:00 GMT-3,9.5,1.238,40.84,60.98,87.8456,,
2025-01-01 10:05:00 GMT-3,9.5,1.228,40.9,60.92,87.6854,,
2025-01-01 10:10:00 GMT-3,9.5,1.222,40.86,60.98,87.7096,,
2025-01-01 10:15:00 GMT-3,9.5,1.22,40.8,60.9,87.6066,,
2025-01-01 10:20:00 GMT-3,9.5,1.234,40.84,60.96,87.7032,,
2025-01-01 10:25:00 GMT-3,9.5,1.238,40.88,60.9,87.5702,,
2025-01-01 10:30:00 GMT-3,9.5,1.242,40.88,60.9,87.5876,,
2025-01-01 10:35:00 GMT-3,9.5,1.242,40.9,60.9,87.7406,,
2025-01-01 10:40:00 GMT-3,9.5,1.24,40.98,61.0,88.0218,,
2025-01-01 10:45:00 GMT-3,9.5,1.24,40.98,61.0,88.1182,,
2025-01-01 10:50:00 GMT-3,9.5,1.244,41.04,61.02,88.2522,,
2025-01-01 10:55:00 GMT-3,9.5,1.242,41.08,61.0,88.242,,
2025-01-01 11:00:00 GMT-3,9.58,1.242,41.06,61.04,88.413,,
2025-01-01 11:05:00 GMT-3,9.6,1.24,41.12,61.1,88.5364,,
2025-01-01 11:10:00 GMT-3,9.6,1.238,41.18,61.1,88.6128,,
2025-01-01 11:15:00 GMT-3,9.6,1.24,41.24,61.1,88.7872,,
2025-01-01 11:20:00 GMT-3,9.6,1.24,41.3,61.16,88.8336,,
2025-01-01 11:25:00 GMT-3,9.6,1.238,41.22,61.1,88.7874,,
2025-01-01 11:30:00 GMT-3,9.6,1.234,41.2,61.02,88.6866,,
2025-01-01 11:35:00 GMT-3,9.6,1.234,41.2,61.06,88.918,,
2025-01-01 11:40:00 GMT-3,9.62,1.24,41.24,61.12,89.0814,,
2025-01-01 11:45:00 GMT-3,9.7,1.232,41.34,61.2,89.279,,
2025-01-01 11:50:00 GMT-3,9.7,1.23,41.4,61.22,89.4306,,
2025-01-01 11:55:00 GMT-3,9.7,1.222,41.44,61.28,89.5534,,
2025-01-01 12:00:00 GMT-3,9.78,1.226,41.5,61.34,89.8298,,
2025-01-01 12:05:00 GMT-3,9.8,1.228,41.48,61.32,89.887,,
2025-01-01 12:10:00 GMT-3,9.8,1.228,41.5,61.38,90.1322,,
2025-01-01 12:15:00 GMT-3,9.8,1.204,41.5,61.34,89.9844,,
2025-01-01 12:20:00 GMT-3,9.8,1.176,41.46,61.26,89.5158,,
2025-01-01 12:25:00 GMT-3,9.8,1.15,41.46,61.2,89.1306,,
2025-01-01 12:30:00 GMT-3,9.7,1.102,41.46,61.14,88.28,,
2025-01-01 12:35:00 GMT-3,9.64,1.09,41.4,61.02,87.7246,,
2025-01-01 12:40:00 GMT-3,9.56,1.056,41.26,60.8,87.0398,,
2025-01-01 12:45:00 GMT-3,9.5,1.01,41.16,60.78,86.3574,,
2025-01-01 12:50:00 GMT-3,9.5,1.0,41.12,60.72,86.0688,,
2025-01-01 12:55:00 GMT-3,9.44,0.948,41.02,60.7,85.313,,
2025-01-01 13:00:00 GMT-3,9.4,0.972,40.96,60.66,85.1936,,
2025-01-01 13:05:00 GMT-3,9.48,1.082,40.9,60.72,86.9456,,
2025-01-01 13:10:00 GMT-3,9.42,1.198,40.84,60.68,88.1582,,
2025-01-01 13:15:00 GMT-3,9.68,1.24,41.04,61.16,90.2158,,
2025-01-01 13:20:00 GMT-3,9.8,1.258,41.32,61.42,91.1552,,
